DateTime,Visitor,Visitor PTS,Home,Home PTS,OT,Attendance,Arena,DateStr,Visitor_short,Home_short,game_id
2000-11-17 21:00:00,New York Knicks,90.0,Phoenix Suns,85.0,,18738.0,America West Arena,200011172100,NYK,PHX,200011172100NYKPHX
2000-11-17 22:00:00,Dallas Mavericks,99.0,Seattle SuperSonics,95.0,,12285.0,KeyArena at Seattle Center,200011172200,DAL,SEA,200011172200DALSEA
2000-11-18 19:00:00,Milwaukee Bucks,102.0,Toronto Raptors,111.0,,19800.0,Air Canada Centre,200011181900,MIL,TOR,200011181900MILTOR
2000-11-18 19:00:00,Boston Celtics,89.0,Washington Wizards,109.0,,19290.0,MCI Center,200011181900,BOS,WAS,200011181900BOSWAS
2000-11-18 19:30:00,Minnesota Timberwolves,94.0,Atlanta Hawks,84.0,,13036.0,Philips Arena,200011181930,MIN,ATL,200011181930MINATL
2000-11-18 19:30:00,Portland Trail Blazers,80.0,Miami Heat,86.0,,16500.0,AmericanAirlines Arena,200011181930,POR,MIA,200011181930PORMIA
2000-11-18 20:00:00,Indiana Pacers,92.0,New Jersey Nets,97.0,,12465.0,Continental Airlines Arena,200011182000,IND,NJN,200011182000INDNJN
2000-11-18 20:30:00,Phoenix Suns,89.0,Houston Rockets,94.0,,12694.0,Compaq Center,200011182030,PHX,HOU,200011182030PHXHOU
2000-11-18 21:00:00,Chicago Bulls,64.0,Utah Jazz,109.0,,17839.0,Delta Center,200011182100,CHI,UTA,200011182100CHIUTA
2000-11-18 21:00:00,Los Angeles Lakers,86.0,Denver Nuggets,87.0,,19513.0,Pepsi Center,200011182100,LAL,DEN,200011182100LALDEN
2000-11-18 22:00:00,Dallas Mavericks,91.0,Vancouver Grizzlies,88.0,,13301.0,General Motors Place,200011182200,DAL,VAN,200011182200DALVAN
2000-11-18 22:30:00,Seattle SuperSonics,86.0,Los Angeles Clippers,83.0,,12271.0,STAPLES Center,200011182230,SEA,LAC,200011182230SEALAC
2000-11-19 18:00:00,Portland Trail Blazers,110.0,Orlando Magic,102.0,OT,14524.0,TD Waterhouse Centre,200011191800,POR,ORL,200011191800PORORL
2000-11-19 19:00:00,Charlotte Hornets,105.0,Detroit Pistons,96.0,,13088.0,The Palace of Auburn Hills,200011191900,CHH,DET,200011191900CHHDET
2000-11-19 20:00:00,Golden State Warriors,71.0,New York Knicks,88.0,,19763.0,Madison Square Garden (IV),200011192000,GSW,NYK,200011192000GSWNYK
2000-11-19 21:30:00,Chicago Bulls,96.0,Los Angeles Lakers,104.0,,18997.0,STAPLES Center,200011192130,CHI,LAL,200011192130CHILAL
2000-11-20 19:00:00,Philadelphia 76ers,114.0,Boston Celtics,90.0,,15209.0,FleetCenter,200011201900,PHI,BOS,200011201900PHIBOS
2000-11-20 19:00:00,Charlotte Hornets,100.0,Toronto Raptors,64.0,,17767.0,Air Canada Centre,200011201900,CHH,TOR,200011201900CHHTOR
2000-11-20 21:00:00,Dallas Mavericks,107.0,Utah Jazz,98.0,,18869.0,Delta Center,200011202100,DAL,UTA,200011202100DALUTA
2000-11-20 22:00:00,Denver Nuggets,95.0,Vancouver Grizzlies,92.0,,11809.0,General Motors Place,200011202200,DEN,VAN,200011202200DENVAN
2000-11-20 22:30:00,New Jersey Nets,86.0,Los Angeles Clippers,85.0,,9803.0,STAPLES Center,200011202230,NJN,LAC,200011202230NJNLAC
2000-11-21 19:00:00,Houston Rockets,101.0,Indiana Pacers,89.0,,16611.0,Conseco Fieldhouse,200011211900,HOU,IND,200011211900HOUIND
2000-11-21 19:00:00,Portland Trail Blazers,104.0,Washington Wizards,94.0,,14113.0,MCI Center,200011211900,POR,WAS,200011211900PORWAS
2000-11-21 19:30:00,Detroit Pistons,98.0,Cleveland Cavaliers,117.0,,12683.0,Gund Arena,200011211930,DET,CLE,200011211930DETCLE
2000-11-21 20:00:00,New York Knicks,85.0,Orlando Magic,84.0,,14673.0,TD Waterhouse Centre,200011212000,NYK,ORL,200011212000NYKORL
2000-11-21 20:00:00,Seattle SuperSonics,116.0,Dallas Mavericks,110.0,,15100.0,Reunion Arena,200011212000,SEA,DAL,200011212000SEADAL
2000-11-21 22:30:00,Chicago Bulls,77.0,Golden State Warriors,89.0,,11263.0,The Arena in Oakland,200011212230,CHI,GSW,200011212230CHIGSW
2000-11-22 19:00:00,Houston Rockets,81.0,Boston Celtics,96.0,,13003.0,FleetCenter,200011221900,HOU,BOS,200011221900HOUBOS
2000-11-22 19:30:00,New York Knicks,74.0,Atlanta Hawks,78.0,,12007.0,Philips Arena,200011221930,NYK,ATL,200011221930NYKATL
2000-11-22 19:30:00,Philadelphia 76ers,73.0,Charlotte Hornets,88.0,,15306.0,Charlotte Coliseum,200011221930,PHI,CHH,200011221930PHICHH
2000-11-22 19:30:00,Cleveland Cavaliers,86.0,Miami Heat,67.0,,14755.0,AmericanAirlines Arena,200011221930,CLE,MIA,200011221930CLEMIA
2000-11-22 20:00:00,Portland Trail Blazers,93.0,Milwaukee Bucks,84.0,,15008.0,Bradley Center,200011222000,POR,MIL,200011222000PORMIL
2000-11-22 20:00:00,Vancouver Grizzlies,100.0,Minnesota Timberwolves,101.0,,16783.0,Target Center,200011222000,VAN,MIN,200011222000VANMIN
2000-11-22 20:30:00,Seattle SuperSonics,85.0,San Antonio Spurs,112.0,,22828.0,Alamodome,200011222030,SEA,SAS,200011222030SEASAS
2000-11-22 21:00:00,New Jersey Nets,85.0,Phoenix Suns,97.0,,17239.0,America West Arena,200011222100,NJN,PHX,200011222100NJNPHX
2000-11-22 21:00:00,Denver Nuggets,78.0,Utah Jazz,116.0,,18664.0,Delta Center,200011222100,DEN,UTA,200011222100DENUTA
2000-11-22 22:30:00,Golden State Warriors,91.0,Los Angeles Lakers,111.0,,18208.0,STAPLES Center,200011222230,GSW,LAL,200011222230GSWLAL
2000-11-22 22:30:00,Chicago Bulls,71.0,Sacramento Kings,100.0,,17317.0,ARCO Arena (II),200011222230,CHI,SAC,200011222230CHISAC
2000-11-23 20:00:00,Toronto Raptors,111.0,Indiana Pacers,91.0,,18345.0,Conseco Fieldhouse,200011232000,TOR,IND,200011232000TORIND
2000-11-24 19:30:00,Miami Heat,80.0,Cleveland Cavaliers,85.0,,20562.0,Gund Arena,200011241930,MIA,CLE,200011241930MIACLE
2000-11-24 19:30:00,Orlando Magic,98.0,Boston Celtics,103.0,OT,16696.0,FleetCenter,200011241930,ORL,BOS,200011241930ORLBOS
2000-11-24 19:30:00,Philadelphia 76ers,76.0,Atlanta Hawks,67.0,,17601.0,Philips Arena,200011241930,PHI,ATL,200011241930PHIATL
2000-11-24 20:00:00,Vancouver Grizzlies,96.0,Detroit Pistons,118.0,,14709.0,The Palace of Auburn Hills,200011242000,VAN,DET,200011242000VANDET
2000-11-24 20:00:00,Washington Wizards,87.0,Indiana Pacers,99.0,,18345.0,Conseco Fieldhouse,200011242000,WAS,IND,200011242000WASIND
2000-11-24 20:30:00,Charlotte Hornets,106.0,Milwaukee Bucks,90.0,,15102.0,Bradley Center,200011242030,CHH,MIL,200011242030CHHMIL
2000-11-24 21:00:00,San Antonio Spurs,92.0,Denver Nuggets,102.0,,13300.0,Pepsi Center,200011242100,SAS,DEN,200011242100SASDEN
